Date;Terakhir;Pembukaan;USD;Emas USD;Consumer Confidence;Interest Rate (%)
23/12/2016;576.13;573.42;13449;115.9;1133.6;4.75
27/12/2016;582.88;573.62;13442;115.9;1138.8;4.75
28/12/2016;594.3;587.15;13429;115.9;1140.9;4.75
29/12/2016;611.62;597.09;13490;115.9;1158.1;4.75
30/12/2016;613.8;612.84;13466;115.9;1151.7;4.75
02/01/2017;605.77;611.25;13258;115.4;1196.2;4.75
03/01/2017;601.68;607.7;13313;115.4;1212.9;4.75
11/01/2017;603.09;601;13349;115.4;1214.3;4.75
13/01/2017;608.34;605.38;13296;115.4;1212.1;4.75
16/01/2017;608.65;609.55;13370;115.4;1201.5;4.75
17/01/2017;604.3;607.02;13378;115.4;1204.9;4.75
18/01/2017;602.91;602.35;13406;115.4;1215.6;4.75
19/01/2017;603.83;605.64;13345;115.4;1210.8;4.75
20/01/2017;600.86;606.54;13342;115.4;1197.8;4.75
23/01/2017;605.6;602.3;13316;115.4;1189.8;4.75
24/01/2017;608.96;603.99;13387;115.4;1191.1;4.75
25/01/2017;610.11;613.39;13326;115.4;1196;4.75
26/01/2017;606.35;609.91;13338;115.4;1211.4;4.75
27/01/2017;613.54;610.6;13512;115.9;1208.3;4.75
30/01/2017;616.38;613.15;13360;115.4;1219.4;4.75
31/01/2017;627.67;626.63;13506;115.9;1250;4.75
02/02/2017;626.74;630.83;13346;115.4;1232.9;4.75
03/02/2017;698.6;702.13;13470;123.8;1218.9;4.75
06/02/2017;701.16;710.08;13494;123.8;1227.7;4.75
08/02/2017;707.25;705.37;13323;123.8;1230;4.75
10/02/2017;691.06;704.28;13285;123.8;1236.4;4.75
07/03/2017;686.16;692.73;13274;123.8;1258.7;4.75
08/03/2017;694.03;678.84;13318;123.8;1252.8;4.75
10/03/2017;719.51;690.79;13399;123.8;1253.6;4.75
07/04/2017;715.27;731.65;13328;123.8;1261.4;4.75
10/04/2017;708.41;721.04;13296;123.8;1255.5;4.75
12/04/2017;701.38;700.6;13296;123.8;1253.1;4.75
09/05/2017;702.67;703.12;13302;123.8;1268.1;4.75
