"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"16/01/2023","1.083,22","1.072,92","1.083,22","1.068,64","395,02M","0,96%"
"13/01/2023","1.072,92","1.078,15","1.082,06","1.065,78","373,37M","-0,48%"
"12/01/2023","1.078,08","1.056,70","1.089,68","1.056,70","528,81M","2,03%"
"11/01/2023","1.056,63","1.075,98","1.075,98","1.054,35","637,56M","-1,80%"
"10/01/2023","1.075,98","1.111,33","1.111,33","1.071,49","673,45M","-3,18%"
"09/01/2023","1.111,33","1.110,80","1.120,96","1.103,15","409,50M","0,06%"
"06/01/2023","1.110,66","1.114,33","1.114,33","1.096,60","425,35M","-0,34%"
"05/01/2023","1.114,40","1.137,31","1.138,10","1.106,14","678,23M","-2,01%"
"04/01/2023","1.137,31","1.148,75","1.151,60","1.137,15","495,80M","-1,00%"
"03/01/2023","1.148,82","1.147,55","1.153,98","1.143,23","298,67M","0,11%"
"02/01/2023","1.147,55","1.151,12","1.151,96","1.143,35","184,32M","-0,30%"
"30/12/2022","1.150,98","1.147,04","1.160,20","1.147,04","332,27M","0,35%"
"29/12/2022","1.146,98","1.146,22","1.147,60","1.136,15","252,64M","0,08%"
"28/12/2022","1.146,11","1.150,40","1.154,28","1.140,89","311,04M","-0,37%"
"27/12/2022","1.150,40","1.155,67","1.160,17","1.145,97","247,61M","-0,45%"
"26/12/2022","1.155,56","1.148,94","1.158,14","1.148,94","187,57M","0,58%"
"23/12/2022","1.148,88","1.158,32","1.158,32","1.148,88","228,01M","-0,81%"
"22/12/2022","1.158,32","1.154,22","1.162,45","1.153,62","291,48M","0,36%"
"21/12/2022","1.154,17","1.155,48","1.163,20","1.153,01","252,85M","-0,11%"
"20/12/2022","1.155,48","1.163,90","1.163,90","1.150,55","225,93M","-0,72%"
"19/12/2022","1.163,90","1.180,04","1.180,77","1.158,10","245,38M","-1,37%"
"16/12/2022","1.180,04","1.160,90","1.180,04","1.147,75","779,88M","1,64%"
"15/12/2022","1.160,95","1.171,79","1.171,79","1.156,51","308,58M","-0,92%"
"14/12/2022","1.171,79","1.178,11","1.186,96","1.162,05","472,85M","-0,52%"
"13/12/2022","1.177,89","1.156,21","1.180,24","1.151,75","421,59M","1,88%"
"12/12/2022","1.156,21","1.153,21","1.157,83","1.139,82","334,80M","0,26%"
"09/12/2022","1.153,21","1.160,22","1.163,57","1.146,01","458,73M","-0,61%"
"08/12/2022","1.160,27","1.164,73","1.167,24","1.140,84","531,52M","-0,40%"
"07/12/2022","1.164,93","1.194,07","1.194,07","1.164,88","587,24M","-2,44%"
"06/12/2022","1.194,07","1.203,16","1.203,16","1.182,46","522,55M","-0,76%"
"05/12/2022","1.203,16","1.204,01","1.212,38","1.198,36","436,51M","-0,07%"
"02/12/2022","1.204,01","1.210,05","1.210,05","1.193,87","460,92M","-0,50%"
"01/12/2022","1.210,05","1.231,39","1.238,16","1.209,01","536,48M","-1,73%"
"30/11/2022","1.231,39","1.197,86","1.231,39","1.193,27","1,08B","2,80%"
"29/11/2022","1.197,86","1.192,44","1.202,85","1.191,45","358,21M","0,45%"
"28/11/2022","1.192,49","1.194,17","1.204,57","1.192,25","369,94M","-0,15%"
"25/11/2022","1.194,22","1.198,14","1.198,58","1.187,39","285,75M","-0,31%"
"24/11/2022","1.197,99","1.192,45","1.202,52","1.192,45","318,15M","0,47%"
"23/11/2022","1.192,41","1.187,06","1.199,34","1.187,06","334,83M","0,45%"
"22/11/2022","1.187,06","1.184,69","1.196,94","1.182,39","326,41M","0,20%"
"21/11/2022","1.184,69","1.197,27","1.202,86","1.182,94","234,72M","-1,03%"
"18/11/2022","1.197,07","1.190,95","1.202,11","1.187,62","299,67M","0,51%"
"17/11/2022","1.191,00","1.180,44","1.196,57","1.174,71","449,69M","0,89%"
"16/11/2022","1.180,44","1.192,27","1.192,27","1.169,99","541,14M","-0,99%"
"15/11/2022","1.192,27","1.188,57","1.196,09","1.183,89","203,15M","0,31%"
"14/11/2022","1.188,61","1.205,87","1.211,78","1.188,61","333,97M","-1,43%"
"11/11/2022","1.205,82","1.172,80","1.209,19","1.172,80","378,34M","2,82%"
"10/11/2022","1.172,75","1.188,53","1.188,53","1.169,73","361,49M","-1,33%"
"09/11/2022","1.188,53","1.183,44","1.188,53","1.178,59","269,81M","0,43%"
"08/11/2022","1.183,44","1.195,94","1.198,57","1.179,32","230,96M","-1,04%"
"07/11/2022","1.195,89","1.182,73","1.195,89","1.172,60","303,81M","1,12%"
"04/11/2022","1.182,68","1.188,03","1.188,03","1.171,87","246,05M","-0,45%"
"03/11/2022","1.188,03","1.180,13","1.189,64","1.173,61","371,35M","0,67%"
"02/11/2022","1.180,08","1.194,60","1.196,71","1.172,57","385,07M","-1,21%"
"01/11/2022","1.194,56","1.203,81","1.212,92","1.183,34","480,34M","-0,76%"
"31/10/2022","1.203,76","1.187,37","1.206,71","1.187,37","515,54M","1,38%"
"28/10/2022","1.187,32","1.190,51","1.190,93","1.175,72","434,83M","-0,25%"
"27/10/2022","1.190,31","1.179,30","1.192,45","1.177,32","341,39M","0,94%"
"26/10/2022","1.179,25","1.200,70","1.203,80","1.174,85","378,42M","-1,79%"
"25/10/2022","1.200,70","1.200,43","1.219,30","1.200,43","500,40M","0,03%"
"24/10/2022","1.200,38","1.178,10","1.207,07","1.177,46","505,69M","1,90%"
"21/10/2022","1.177,95","1.157,95","1.188,40","1.156,71","528,01M","1,74%"
"20/10/2022","1.157,80","1.129,36","1.160,34","1.122,56","495,75M","2,52%"
"19/10/2022","1.129,36","1.113,88","1.137,10","1.107,75","293,15M","1,39%"
"18/10/2022","1.113,88","1.101,74","1.114,88","1.099,70","352,49M","1,11%"
"17/10/2022","1.101,70","1.101,76","1.106,18","1.089,68","305,76M","-0,01%"
"14/10/2022","1.101,76","1.122,57","1.132,96","1.101,76","401,42M","-1,85%"
"13/10/2022","1.122,52","1.128,62","1.134,81","1.122,52","283,53M","-0,54%"
"12/10/2022","1.128,67","1.131,64","1.139,67","1.124,26","314,35M","-0,26%"
"11/10/2022","1.131,64","1.138,17","1.142,38","1.127,90","310,68M","-0,57%"
"10/10/2022","1.138,17","1.146,68","1.146,68","1.131,10","394,81M","-0,74%"
"07/10/2022","1.146,68","1.158,94","1.159,02","1.142,54","350,85M","-1,06%"
"06/10/2022","1.158,94","1.156,08","1.162,67","1.152,74","247,35M","0,25%"
"05/10/2022","1.156,08","1.159,78","1.171,88","1.156,08","361,89M","-0,32%"
"04/10/2022","1.159,78","1.151,60","1.170,89","1.151,60","458,75M","0,72%"
"03/10/2022","1.151,50","1.158,75","1.161,53","1.149,69","359,00M","-0,63%"
"30/09/2022","1.158,75","1.151,46","1.162,06","1.136,18","572,04M","0,63%"
"29/09/2022","1.151,55","1.161,20","1.169,36","1.149,53","355,28M","-0,83%"
"28/09/2022","1.161,15","1.162,55","1.177,60","1.157,40","406,05M","-0,13%"
"27/09/2022","1.162,64","1.167,20","1.168,47","1.155,14","444,92M","-0,39%"
"26/09/2022","1.167,25","1.163,61","1.170,72","1.142,13","578,04M","0,32%"
"23/09/2022","1.163,56","1.170,89","1.173,78","1.162,98","351,96M","-0,62%"
