Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah
23/12/2016;576,13;573,42;583,95;571,82
27/12/2016;582,88;573,62;584,16;571,97
28/12/2016;594,3;587,15;596,84;585,79
29/12/2016;611,62;597,09;612,95;595,25
30/12/2016;613,8;612,84;618,86;610,75
03/01/2017;614,64;614,76;614,76;606,27
04/01/2017;619,66;615,87;620,25;609,88
05/01/2017;615,2;619,69;621,51;612,63
06/01/2017;616,02;613,45;617,67;612,67
09/01/2017;607,59;615,29;618,4;605,66
10/01/2017;611,32;611,99;613,76;607,98
11/01/2017;610,06;613,12;616,63;610,06
12/01/2017;609,81;611,89;614,67;609,81
13/01/2017;605,77;611,25;613,96;605,77
16/01/2017;601,68;607,7;607,84;600,44
17/01/2017;603,09;601;606,15;601
18/01/2017;608,34;605,38;608,34;604,27
19/01/2017;608,65;609,55;611,67;606,41
20/01/2017;604,3;607,02;607,99;600,94
23/01/2017;602,91;602,35;606,97;601,38
24/01/2017;603,83;605,64;607,87;603,83
25/01/2017;600,86;606,54;607,58;600,68
26/01/2017;605,6;602,3;608,94;602,04
27/01/2017;608,96;603,99;610,9;603,29
30/01/2017;610,11;613,39;613,83;609,01
31/01/2017;606,35;609,91;611,65;605,86
01/02/2017;613,54;610,6;615,06;608,68
02/02/2017;616,38;613,15;616,71;612,42
03/02/2017;617,93;617,31;619,05;616,48
06/02/2017;625,43;621,75;627,4;621,14
07/02/2017;627,72;623,25;628,22;623,25
08/02/2017;622,38;626,75;626,98;621,29
09/02/2017;627,61;625,22;629,45;624,93
10/02/2017;620,37;629,58;631,28;620,37
13/02/2017;630,02;629,75;631,67;626,51
14/02/2017;628,44;628,37;629,62;625,91
16/02/2017;626,56;627,79;628,5;617,59
17/02/2017;622,54;625,01;625,85;620,12
20/02/2017;626,45;626,39;626,97;623,79
21/02/2017;626,89;627,6;630,24;625,73
22/02/2017;630,28;628,07;631,01;625,92
23/02/2017;628,15;626,15;629,53;626,15
24/02/2017;627,81;629,65;630,79;627,81
27/02/2017;625,2;629,47;629,58;623,48
28/02/2017;628,26;627,69;630,62;625,36
01/03/2017;627,67;626,63;628,5;624,41
02/03/2017;626,74;630,83;633,26;626,74
03/03/2017;627,18;626,56;628,76;625,62
06/03/2017;627,9;626,87;628,66;623,71
07/03/2017;628,05;626,93;629,51;625,89
08/03/2017;628,29;629,88;630,48;627,48
09/03/2017;632,69;628,95;632,69;628,33
10/03/2017;632,7;634,9;635,14;629,2
13/03/2017;632;632,43;633,96;629,3
14/03/2017;634,61;632,33;637,8;631,71
15/03/2017;635,5;635,98;638,94;633,88
16/03/2017;646,8;642,42;646,89;641,22
17/03/2017;655,78;652,05;658,1;651,04
20/03/2017;657,97;658,86;665,63;655,14
21/03/2017;660,29;660,98;663,1;657,23
22/03/2017;662,4;653,63;662,4;650,96
23/03/2017;670,17;662,43;673,82;660,53
24/03/2017;668,3;671,82;671,94;664,25
27/03/2017;658,24;666,73;667,93;656,36
29/03/2017;663,02;663,87;667,68;660,13
30/03/2017;664,07;660,15;664,22;656,39
31/03/2017;661,12;662,77;666,5;661,12
03/04/2017;663,9;662,07;670,38;660,6
04/04/2017;666,68;662,68;671,06;661,23
05/04/2017;671,83;669,39;673,74;668,52
06/04/2017;686,82;673,9;686,93;672,07
07/04/2017;680,84;686,27;687,96;680,28
10/04/2017;679,8;685,34;690,24;676,74
11/04/2017;671,72;681,08;681,08;669,78
12/04/2017;672,65;671,07;675,33;670,18
13/04/2017;667,1;677,9;678,66;664,81
17/04/2017;657,24;668,31;668,31;657,24
18/04/2017;665,45;661,76;668,83;661,55
20/04/2017;664,38;668,68;672,01;662,84
21/04/2017;666,83;662,02;670,01;661,3
25/04/2017;671,02;672,16;674,39;667,75
26/04/2017;685,33;676,68;685,33;673,95
27/04/2017;675,21;675,23;681,22;673,69
28/04/2017;677,28;675,86;679,89;675,02
02/05/2017;681,52;680,6;684,08;679,53
03/05/2017;679,83;681,04;681,78;678,74
04/05/2017;694,25;682,09;694,25;682,09
05/05/2017;696,05;694,37;697,67;692,02
08/05/2017;704,09;698,3;706,92;698,3
09/05/2017;701,34;709,21;713,97;701,26
10/05/2017;698,6;702,13;707,01;695,35
12/05/2017;701,16;710,08;710,08;698,17
15/05/2017;707,25;705,37;707,25;700,48
16/05/2017;691,06;704,28;705,99;691,06
17/05/2017;686,16;692,73;693,05;680,26
18/05/2017;694,03;678,84;694,16;675,13
19/05/2017;719,51;690,79;732,58;687,43
22/05/2017;715,27;731,65;738;711,25
23/05/2017;708,41;721,04;721,98;700,71
24/05/2017;701,38;700,6;702,96;696,71
26/05/2017;702,67;703,12;707,39;700,64
29/05/2017;707,93;706,46;709,53;700,65
30/05/2017;704,84;704;709,67;704
31/05/2017;705,8;705,77;710,66;702,93
02/06/2017;714,47;713,34;714,55;709,19
05/06/2017;719,98;717,31;722,88;711,9
06/06/2017;710,45;713,54;718,81;709,35
07/06/2017;714,26;711,4;715,88;710,58
08/06/2017;711,39;714,75;717,21;710,97
09/06/2017;703,16;710,93;711,77;701,6
12/06/2017;707,6;701,34;711,11;701,29
13/06/2017;707,86;704,53;711,76;704,22
14/06/2017;720,95;706,93;720,95;706,88
15/06/2017;719,67;717,97;723,61;717,03
16/06/2017;712,3;720,17;721,45;710,13
19/06/2017;715,8;713,85;715,87;711,83
20/06/2017;722,16;715,74;722,16;714,84
21/06/2017;729,53;720,02;729,53;718,63
22/06/2017;728,56;728,87;728,87;723,33
03/07/2017;746,17;728,85;746,17;725,88
04/07/2017;742,92;741,23;747,74;739,15
05/07/2017;737,5;742,24;744,41;734,55
06/07/2017;736,32;733,99;738,84;733,99
07/07/2017;737,36;733,9;742,96;733,89
10/07/2017;729,02;737,36;739,28;728,07
11/07/2017;727,54;726,96;730,22;724,52
12/07/2017;736,91;724,51;737,72;724,51
13/07/2017;740,25;740,24;741,39;733,05
14/07/2017;740,28;740,22;741,2;733
17/07/2017;741,42;738,23;741,42;737,44
18/07/2017;739,47;735,82;739,47;734,96
19/07/2017;736,4;739,59;740,14;734,91
20/07/2017;738,01;736,56;739,11;735,12
21/07/2017;728,17;737,03;739,62;727,9
24/07/2017;736,77;727,67;737,33;725,86
25/07/2017;741,08;736,97;741,23;735,66
26/07/2017;743,83;739,86;746,65;739,59
27/07/2017;747;744,12;747,68;743,65
28/07/2017;744,96;749,51;749,83;741,24
31/07/2017;752,67;741,83;753,79;740,89
01/08/2017;750,81;756,56;756,56;750,17
02/08/2017;750,83;751,47;753,08;748,08
03/08/2017;743,44;751,63;751,63;741,05
04/08/2017;742,45;743,06;747,07;741,26
07/08/2017;744,15;743,21;747,72;743,21
08/08/2017;755,55;745,77;755,55;745,77
09/08/2017;757,94;757,53;757,94;752,91
10/08/2017;756,97;759,83;760,33;754,46
11/08/2017;750,54;755,1;755,72;748,65
14/08/2017;754,42;751,01;756,45;750,97
15/08/2017;755,1;754,68;757,02;752,25
16/08/2017;760,84;755,91;760,84;755,28
18/08/2017;754,75;755,17;758,84;753,5
21/08/2017;759,5;753,88;760,09;753,88
22/08/2017;761,03;758,52;762,96;758,52
23/08/2017;765,74;764,78;766,67;760,36
24/08/2017;760,39;766,3;766,82;758,4
25/08/2017;762,33;765,81;765,84;760,43
28/08/2017;761,83;760,36;762,7;758,34
29/08/2017;757,78;760,28;760,75;755,1
30/08/2017;759,23;758,86;760,38;754,95
31/08/2017;757,95;757,38;761,81;756,18
04/09/2017;750,4;755,23;756,78;748,25
05/09/2017;754,34;754,54;755,36;744,7
06/09/2017;748,51;748,77;750,85;745,33
07/09/2017;753,11;751,39;753,98;747,41
08/09/2017;753,98;747,84;756,79;747,47
11/09/2017;752,85;755,61;756,57;752,85
12/09/2017;754,89;753,25;757,4;752,69
13/09/2017;753,51;753,13;756,75;751,87
14/09/2017;753,13;754,32;756,12;752,18
15/09/2017;755,45;752,12;757,65;750,02
18/09/2017;756,09;756,1;758,06;752,39
19/09/2017;759,87;755,29;760,11;753,56
20/09/2017;760,16;759,39;760,36;757,02
22/09/2017;779,69;761,71;781,4;761,14
25/09/2017;776,01;778,48;781,36;775,06
26/09/2017;771,97;777,35;778,05;771,38
27/09/2017;769,02;774,77;774,77;766,65
28/09/2017;761,35;766,76;768,93;760,98
29/09/2017;780,34;767,16;782,14;765,08
02/10/2017;780,19;784,5;787,38;779,11
03/10/2017;783,93;781,9;785,84;777,56
04/10/2017;782,52;788,42;788,95;781,96
05/10/2017;778,84;785,37;786,27;774,51
06/10/2017;780,83;781,08;781,64;775,19
09/10/2017;779,44;782,64;783,41;777,89
10/10/2017;779,02;777,19;781,86;776,99
11/10/2017;780,42;777,03;782,34;775,62
12/10/2017;791,95;781,74;794,55;779,77
13/10/2017;788,56;792,41;798,26;788,45
16/10/2017;791,36;792,16;800,26;789,61
17/10/2017;791,58;795,47;796,43;785,21
18/10/2017;789,27;796,64;796,9;786,46
19/10/2017;790,12;791,15;791,68;786,51
20/10/2017;794,97;792,12;802,82;789,89
23/10/2017;797,58;799,21;805,13;797,12
24/10/2017;789,05;798,14;801,83;789,05
25/10/2017;799,9;791,78;799,9;790,93
26/10/2017;796,65;799,88;802,39;796,36
27/10/2017;788,41;796,9;800,92;787,13
30/10/2017;790,43;793,39;794,56;788,31
31/10/2017;796,88;799,39;799,39;793,08
01/11/2017;808,76;799,51;808,92;799,51
02/11/2017;816,49;812,27;821,94;810,32
03/11/2017;810,21;818,95;819,48;804,07
06/11/2017;812,58;811,53;820,22;810,29
07/11/2017;812,43;811,52;814,14;808,38
08/11/2017;812,45;812,64;822,21;811,08
09/11/2017;815,01;814,41;819,18;814,03
10/11/2017;811,02;817,7;821,63;810,73
13/11/2017;807,1;810,7;814;806,95
14/11/2017;799,26;805,98;812,34;799,26
15/11/2017;802,56;803,83;808,2;798,24
16/11/2017;811,65;804,94;814,54;804,47
17/11/2017;826,71;817,51;830,23;815,58
20/11/2017;828,57;828,81;836,37;827,68
21/11/2017;824,6;830,54;831,68;822,43
22/11/2017;835,66;826,39;838,57;825,85
23/11/2017;832,48;836,64;840,23;830,08
24/11/2017;831,57;833,2;833,25;827,14
27/11/2017;830,49;827,48;832,32;822,88
28/11/2017;837,57;830,87;837,82;825,4
29/11/2017;830,59;839,24;839,8;828,24
30/11/2017;813,55;831,6;838,3;813,55
04/12/2017;825,72;830,83;832,72;821,65
05/12/2017;834,15;832,67;836,51;828,87
06/12/2017;847,2;836,78;848,05;833,94
07/12/2017;835,78;846,11;846,85;835,58
08/12/2017;842,98;842,59;846,69;839,25
11/12/2017;847,13;849,34;850,4;844,35
12/12/2017;846,86;849,61;849,61;842,09
13/12/2017;847,4;844,33;848,65;843,04
14/12/2017;851,31;846,95;851,31;842,73
15/12/2017;846,43;846,56;848,27;840,34
18/12/2017;848,94;840,93;848,94;838,78
19/12/2017;855,75;846,78;857,09;844,45
20/12/2017;850,83;856,53;856,77;846,83
21/12/2017;861,47;857,27;866,47;854,88
22/12/2017;870,59;863,03;872,03;858,86
27/12/2017;889,15;871,37;890,91;871,37
28/12/2017;899,14;890,64;900,51;888,78
29/12/2017;900,64;904,21;917,04;889,51
02/01/2018;895,4;903,08;912,88;891,73
03/01/2018;886,42;895,71;896,29;876,06
04/01/2018;889,86;886,84;889,86;877,29
05/01/2018;891,48;888,42;893,38;885,21
08/01/2018;894,64;892,88;897,07;889,61
09/01/2018;894,08;898,5;899,1;888,66
