Tanggal,Harga Aktual,Harga Prediksi
2023-01-09,1111.33,1113.8503
2023-01-10,1075.98,1113.9148
2023-01-11,1056.63,1091.1407
2023-01-12,1078.08,1076.7391
2023-01-13,1072.92,1080.8995
2023-01-16,1083.22,1078.0969
2023-01-17,1105.43,1084.041
2023-01-18,1101.5,1102.7361
2023-01-19,1111.4,1103.3456
2023-01-20,1120.49,1110.8542
2023-01-24,1117.16,1119.939
2023-01-25,1115.08,1119.4144
2023-01-26,1140.49,1118.3995
2023-01-27,1152.14,1141.5891
2023-01-30,1140.76,1154.1473
2023-01-31,1131.3,1142.3604
2023-02-01,1128.44,1133.7449
2023-02-02,1130.44,1131.1509
2023-02-03,1153.32,1131.9962
2023-02-06,1151.72,1153.1902
2023-02-07,1161.83,1152.2896
2023-02-08,1165.64,1162.8246
2023-02-09,1171.02,1165.6954
2023-02-10,1168.48,1170.9965
2023-02-13,1170.81,1168.1047
2023-02-14,1175.94,1170.5773
2023-02-15,1165.33,1175.6552
2023-02-16,1156.81,1163.2783
2023-02-17,1162.24,1155.8447
2023-02-20,1161.85,1162.3566
2023-02-21,1148.46,1161.0348
2023-02-22,1132.43,1147.7701
2023-02-23,1137.63,1132.9915
2023-02-24,1134.44,1137.6968
2023-02-27,1140.41,1134.5204
2023-02-28,1125.88,1140.6163
